,location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
121,3394396,Nairobi CMR,pm25,14.7,µg/m³,2025-03-18T13:00:00Z,2025-03-18T16:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
122,3394396,Nairobi CMR,pm25,17.2,µg/m³,2025-03-18T14:00:00Z,2025-03-18T17:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
123,3394396,Nairobi CMR,pm25,19.0,µg/m³,2025-03-18T15:00:00Z,2025-03-18T18:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
124,3394396,Nairobi CMR,pm25,19.6,µg/m³,2025-03-18T16:00:00Z,2025-03-18T19:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
125,3394396,Nairobi CMR,pm25,29.6,µg/m³,2025-03-18T17:00:00Z,2025-03-18T20:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
126,3394396,Nairobi CMR,pm25,35.7,µg/m³,2025-03-18T18:00:00Z,2025-03-18T21:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
127,3394396,Nairobi CMR,pm25,25.3,µg/m³,2025-03-18T19:00:00Z,2025-03-18T22:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
128,3394396,Nairobi CMR,pm25,25.2,µg/m³,2025-03-18T20:00:00Z,2025-03-18T23:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
129,3394396,Nairobi CMR,pm25,30.5,µg/m³,2025-03-18T21:00:00Z,2025-03-19T00:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
130,3394396,Nairobi CMR,pm25,24.4,µg/m³,2025-03-18T22:00:00Z,2025-03-19T01:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
131,3394396,Nairobi CMR,pm25,15.3,µg/m³,2025-03-18T23:00:00Z,2025-03-19T02:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
132,3394396,Nairobi CMR,pm25,15.7,µg/m³,2025-03-19T00:00:00Z,2025-03-19T03:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
